VideoID,Username,Comment,Timestamp,Date,Clean_Comment
_5AKKX1MYR8,@wjsofficial4877,Beli di online suaranya bisa gak ya😂,2025-06-09T10:00:37Z,2025-06-09T10:00:37Z,beli di online suaranya bisa gak ya
_5AKKX1MYR8,@arisgunawan9608,I like this,2025-06-09T07:50:12Z,2025-06-09T07:50:12Z,i like this
_5AKKX1MYR8,@muh.fathanmulya8296,Sehat2 semua orang tua didunia ini Termasuk orang tuaku jga,2025-06-07T12:32:03Z,2025-06-07T12:32:03Z,sehat2 semua orang tua didunia ini termasuk orang tuaku jga
_5AKKX1MYR8,@RomansyahTia,Semangat ya ariel,2025-06-07T06:21:12Z,2025-06-07T06:21:12Z,semangat ya ariel
_5AKKX1MYR8,@FiraRamadhania,Lagu ayah don terharu bangett ya,2025-06-06T11:21:30Z,2025-06-06T11:21:30Z,lagu ayah don terharu bangett ya
_5AKKX1MYR8,@OktianiPutri,Edan edan edan,2025-06-06T07:57:41Z,2025-06-06T07:57:41Z,edan edan edan
_5AKKX1MYR8,@Thealwayson,Suara lu ril ngga kedengeran jelas,2025-06-06T07:07:56Z,2025-06-06T07:07:56Z,suara lu ril ngga kedengeran jelas
_5AKKX1MYR8,@Damascus-3,Berarti kupingmu bermasalah byk kotorannya kali ya😅😅😅😅,2025-06-06T14:11:22Z,2025-06-06T14:11:22Z,berarti kupingmu bermasalah byk kotorannya kali ya
_5AKKX1MYR8,@ppi-kz5ry,"walaupun aku tidak bisa menjadi suami yang baik, tapi aku akan menjadi ayah terbaik.. lagu ini sangat mewakili ku sebagai seorang ayah yang ingin anak nya kuat menghadapi dunia",2025-06-04T23:43:47Z,2025-06-04T23:43:47Z,walaupun aku tidak bisa menjadi suami yang baik tapi aku akan menjadi ayah terbaik lagu ini sangat mewakili ku sebagai seorang ayah yang ingin anak nya kuat menghadapi dunia
_5AKKX1MYR8,@darusmanms,keren bang..,2025-06-04T12:03:26Z,2025-06-04T12:03:26Z,keren bang
_5AKKX1MYR8,@rizalditahir5568,"Anakku, usah kau takut pada keras dunia...",2025-06-04T06:54:49Z,2025-06-04T06:54:49Z,anakku usah kau takut pada keras dunia
_5AKKX1MYR8,@hollybuddy9673,Enaak bgt versi ariel,2025-06-04T06:05:41Z,2025-06-04T06:05:41Z,enaak bgt versi ariel
_5AKKX1MYR8,@VIVIRATNAWATI,Bikiiin adeeemm di hati...❤,2025-06-04T01:45:25Z,2025-06-04T01:45:25Z,bikiiin adeeemm di hati
_5AKKX1MYR8,@saibatulhamdi,"teruntuk keponakanku (muhammad Saddam haufanza) ini lagu yang sering kudengarkan waktu umurmu 2 tahun ,semoga dewasa nanti kau bisa menjadi anak yang bisa di banggakan kedua orang tuamu nak..",2025-06-03T17:36:39Z,2025-06-03T17:36:39Z,teruntuk keponakanku muhammad saddam haufanza ini lagu yang sering kudengarkan waktu umurmu 2 tahun semoga dewasa nanti kau bisa menjadi anak yang bisa di banggakan kedua orang tuamu nak
_5AKKX1MYR8,@andiabiyyuramadhan,"Kala nanti badai 'kan datang
Angin akan buat kau goyah
Maafkan, hidup memang
Ingin kau lebih kuat

Andaikan, saat itu datang
Kami tak ada menemani
Aku ingin kau mendengar
Nyanyianku di sini

Sedikit, demi sedikit
Engkau akan berteman pahit
Luapkanlah saja bila harus menangis
Anakku, ingatlah semua
Lelah tak akan tersia
Usah, kau takut pada keras dunia

Akhirnya takkan ada akhir
Doaku agar kau selalu
Arungi hidup berbalut senyuman di hati

Doaku agar kau selalu
Ingat bahagia meski kadang hidup tak baik saja

Nyanyian ini bukan sekedar nada
Aku ingin kau mendengarnya
Dengan hatimu bukan telinga
Ingatlah ini bukan sekedar kata
Maksudnya kelak akan menjadi makna
Ungkapan cintaku dari hati",2025-06-03T11:58:02Z,2025-06-03T11:58:02Z,kala nanti badai kan datang angin akan buat kau goyah maafkan hidup memang ingin kau lebih kuat andaikan saat itu datang kami tak ada menemani aku ingin kau mendengar nyanyianku di sini sedikit demi sedikit engkau akan berteman pahit luapkanlah saja bila harus menangis anakku ingatlah semua lelah tak akan tersia usah kau takut pada keras dunia akhirnya takkan ada akhir doaku agar kau selalu arungi hidup berbalut senyuman di hati doaku agar kau selalu ingat bahagia meski kadang hidup tak baik saja nyanyian ini bukan sekedar nada aku ingin kau mendengarnya dengan hatimu bukan telinga ingatlah ini bukan sekedar kata maksudnya kelak akan menjadi makna ungkapan cintaku dari hati
_5AKKX1MYR8,@firmandiago8923,Bagus banget ❤,2025-06-03T04:34:51Z,2025-06-03T04:34:51Z,bagus banget
_5AKKX1MYR8,@Ngakak15Detik89,"Gue ulang terus, ga bosen denger nya. 
Emang ga ada duanya kang boril.",2025-06-02T18:30:26Z,2025-06-02T18:30:26Z,gue ulang terus ga bosen denger nya emang ga ada duanya kang boril
_5AKKX1MYR8,@santyayabaktiwira,Reff 2 ga ada bangboriel,2025-06-02T15:04:45Z,2025-06-02T15:04:45Z,reff 2 ga ada bangboriel
_5AKKX1MYR8,@frasiskaicha5226,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭🤣🤣🤣🤣🤣🤣🤣🤣😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,2025-06-02T10:01:39Z,2025-06-02T10:01:39Z,
_5AKKX1MYR8,@ardipujihariadi,Mberenes mili...,2025-06-02T09:36:48Z,2025-06-02T09:36:48Z,mberenes mili
_5AKKX1MYR8,@GADRA5679,Bagus,2025-06-02T05:36:37Z,2025-06-02T05:36:37Z,bagus
_5AKKX1MYR8,@dannyafriant9789,"setuju, tp hrs dirombak lagunya, krn beda range suara, kecuali bagi part.. tar pas reff bagi suara paling",2025-06-02T00:36:58Z,2025-06-02T00:36:58Z,setuju tp hrs dirombak lagunya krn beda range suara kecuali bagi part tar pas reff bagi suara paling
_5AKKX1MYR8,@rizaldrew2314,"Telingaku yg salah atau editing vocal nya yg berlebihan jadi suaranya k'ariel jdi kurang maksimal kedengarannya, suara yg sudah bagus tolong editingnya jngan kacau 🙏",2025-06-01T18:23:11Z,2025-06-01T18:23:11Z,telingaku yg salah atau editing vocal nya yg berlebihan jadi suaranya kariel jdi kurang maksimal kedengarannya suara yg sudah bagus tolong editingnya jngan kacau
_5AKKX1MYR8,@attosuharto7953,ariel klw nyanyi suka banget ngenakin lagu ..,2025-06-01T15:51:27Z,2025-06-01T15:51:27Z,ariel klw nyanyi suka banget ngenakin lagu
_5AKKX1MYR8,@attosuharto7953,Versi ini bikin😢,2025-06-01T15:49:39Z,2025-06-01T15:49:39Z,versi ini bikin
_5AKKX1MYR8,@yonesnigaratatv,"Kala nanti badai 'kan datang
Angin akan buat kau goyah
Maafkan, hidup memang
Ingin kau lebih kuat
Andaikan saat itu datang
Kami tak ada menemani
Aku ingin kau mendengar
Nyanyianku di sini
Sedikit demi sedikit
Engkau akan berteman pahit
Luapkanlah saja bila harus menangis
Anakku, ingatlah semua
Lelah tak akan tersia
Usah kau takut pada keras dunia
Maksudnya kelak akan menjadi makna
Ungkapan cintaku dari hati.",2025-06-01T14:25:04Z,2025-06-01T14:25:04Z,kala nanti badai kan datang angin akan buat kau goyah maafkan hidup memang ingin kau lebih kuat andaikan saat itu datang kami tak ada menemani aku ingin kau mendengar nyanyianku di sini sedikit demi sedikit engkau akan berteman pahit luapkanlah saja bila harus menangis anakku ingatlah semua lelah tak akan tersia usah kau takut pada keras dunia maksudnya kelak akan menjadi makna ungkapan cintaku dari hati
_5AKKX1MYR8,@siswaterampilberbahasa8159,Lagunya Ariel banget,2025-06-01T13:37:56Z,2025-06-01T13:37:56Z,lagunya ariel banget
_5AKKX1MYR8,@sulaimandoank5330,❤😂🎉😢😮😅😊,2025-06-01T12:14:24Z,2025-06-01T12:14:24Z,
_5AKKX1MYR8,@introlagukerendunia,Enak banget jir,2025-06-01T10:50:01Z,2025-06-01T10:50:01Z,enak banget jir
_5AKKX1MYR8,@IyatMerakai,2:00,2025-06-01T06:04:44Z,2025-06-01T06:04:44Z,200
_5AKKX1MYR8,@nindityanugroho7170,Bagus banget,2025-06-01T05:18:17Z,2025-06-01T05:18:17Z,bagus banget
_5AKKX1MYR8,@cahyomiti4136,Deg degan 😮😮😮😖,2025-06-01T04:27:21Z,2025-06-01T04:27:21Z,deg degan
_5AKKX1MYR8,@jalan_kebaikan111,Suara ariel noah kah?,2025-05-31T10:21:57Z,2025-05-31T10:21:57Z,suara ariel noah kah
_5AKKX1MYR8,@RositaNirmala,-literasi damn💔🥀,2025-05-31T13:14:06Z,2025-05-31T13:14:06Z,literasi damn
_5AKKX1MYR8,@hiburanaku6998,@@RositaNirmala ini suara bapaknya Don,2025-06-04T00:11:34Z,2025-06-04T00:11:34Z,rositanirmala ini suara bapaknya don
_5AKKX1MYR8,@mitrasilvana15,Mantappp...😂,2025-05-31T03:47:22Z,2025-05-31T03:47:22Z,mantappp
_5AKKX1MYR8,@IntanYuliSusanti,😢😭🥹🤲😢🦿☹️🙏🥹🥲😭,2025-05-30T11:27:29Z,2025-05-30T11:27:29Z,
_5AKKX1MYR8,@ReyzioIlyas-g7z,Suara Ariel bagus banget sampai ikutan nyanyi aku,2025-05-30T08:59:16Z,2025-05-30T08:59:16Z,suara ariel bagus banget sampai ikutan nyanyi aku
_5AKKX1MYR8,@djanuari-pr4c,Harum grup harum group djarum group,2025-05-30T06:53:24Z,2025-05-30T06:53:24Z,harum grup harum group djarum group
_5AKKX1MYR8,@pajjirinaswad4017,Versi Ariel ini lebih bagus lagunya kalo Adit yg nyanyi kyk nda bulat nada nya dan nggak terarah instrumen nya,2025-05-28T23:08:00Z,2025-05-28T23:08:00Z,versi ariel ini lebih bagus lagunya kalo adit yg nyanyi kyk nda bulat nada nya dan nggak terarah instrumen nya
